Azul,Zero
Azul,Um
Azul,Um
Azul,Dois
Azul,Dois
Azul,Tres
Azul,Tres
Azul,Quatro
Azul,Quatro
Azul,Cinco
Azul,Cinco
Azul,Seis
Azul,Seis
Azul,Sete
Azul,Sete
Azul,Oito
Azul,Oito
Azul,Nove
Azul,Nove
Azul,Inverter
Azul,Inverter
Azul,Bloquear
Azul,Bloquear
Azul,MaisDois
Azul,MaisDois
Amarelo,Zero
Amarelo,Um
Amarelo,Um
Amarelo,Dois
Amarelo,Dois
Amarelo,Tres
Amarelo,Tres
Amarelo,Quatro
Amarelo,Quatro
Amarelo,Cinco
Amarelo,Cinco
Amarelo,Seis
Amarelo,Seis
Amarelo,Sete
Amarelo,Sete
Amarelo,Oito
Amarelo,Oito
Amarelo,Nove
Amarelo,Nove
Amarelo,Inverter
Amarelo,Inverter
Amarelo,Bloquear
Amarelo,Bloquear
Amarelo,MaisDois
Amarelo,MaisDois
Verde,Zero
Verde,Um
Verde,Um
Verde,Dois
Verde,Dois
Verde,Tres
Verde,Tres
Verde,Quatro
Verde,Quatro
Verde,Cinco
Verde,Cinco
Verde,Seis
Verde,Seis
Verde,Sete
Verde,Sete
Verde,Oito
Verde,Oito
Verde,Nove
Verde,Nove
Verde,Inverter
Verde,Inverter
Verde,Bloquear
Verde,Bloquear
Verde,MaisDois
Verde,MaisDois
Vermelho,Zero
Vermelho,Um
Vermelho,Um
Vermelho,Dois
Vermelho,Dois
Vermelho,Tres
Vermelho,Tres
Vermelho,Quatro
Vermelho,Quatro
Vermelho,Cinco
Vermelho,Cinco
Vermelho,Seis
Vermelho,Seis
Vermelho,Sete
Vermelho,Sete
Vermelho,Oito
Vermelho,Oito
Vermelho,Nove
Vermelho,Nove
Vermelho,Inverter
Vermelho,Inverter
Vermelho,Bloquear
Vermelho,Bloquear
Vermelho,MaisDois
Vermelho,MaisDois
Preto,MaisQuatro
Preto,MaisQuatro
Preto,MaisQuatro
Preto,MaisQuatro
Preto,MudarCor
Preto,MudarCor
Preto,MudarCor
Preto,MudarCor
